Locality,Restaurant Count,Percentage
Rajpur,3,0.03
"Hotel Saffron Kiran, Faridabad",3,0.03
"Parsavnath City Mall, Sector 12, Faridabad",3,0.03
Anjuna,3,0.03
Baga,3,0.03
Panaji,3,0.03
"Hong Kong Bazaar Mall, Sector 57, Gurgaon",3,0.03
"Le Meridien Gurgaon, MG Road",3,0.03
"Leisure Inn, Sector 14, Gurgaon",3,0.03
Omaxe Gurgaon Mall,3,0.03
"Raheja Mall, Sohna Road",3,0.03
Sector 57,3,0.03
"The Bristol Hotel, DLF Phase 1",3,0.03
"The Westin Gurgaon, Sector 29",3,0.03
"Two Horizon Center, Golf Course Road",3,0.03
Zoo Tiniali,3,0.03
New Palasia,3,0.03
Mall Road,3,0.03
Swaroop Nagar,3,0.03
Kacheripady,3,0.03
Kakkanad,3,0.03
Panampilly Nagar,3,0.03
Lower Parel,3,0.03
Malad West,3,0.03
Chamrajpura,3,0.03
Gokulam,3,0.03
Jayalakhsmipuram,3,0.03
Dharampeth,3,0.03
Sitabuldi,3,0.03
"Aggarwal City Mall, Pitampura",3,0.03
Asaf Ali Road,3,0.03
"Bellagio, Ashok Vihar Phase 2",3,0.03
"City Square Mall, Rajouri Garden",3,0.03
Essex Farms,3,0.03
"Fun City Mall, Prashant Vihar",3,0.03
ITO,3,0.03
Karampura,3,0.03
"Maidens Hotel, Civil Lines",3,0.03
"Metro Walk Mall, Rohini",3,0.03
"Pride Plaza Hotel, Aerocity",3,0.03
"Roseate House, Aerocity",3,0.03
"Sheraton New Delhi Hotel, Saket",3,0.03
"Taj Vivanta, Khan Market",3,0.03
"TDI Mall, Rajouri Garden",3,0.03
"The Park, Connaught Place",3,0.03
"The Uppal, Aerocity",3,0.03
"The Village Restaurant Complex, Khel Gaon Marg",3,0.03
Uday Park,3,0.03
"Harsha Mall, Greater Noida",3,0.03
"Hotel Golf View, Sector 37, Noida",3,0.03
"Park Plaza Hotel, Sector 55, Noida",3,0.03
Lodipur,3,0.03
Sri Krishnapuri,3,0.03
Kalyani Nagar,3,0.03
Hindpiri,3,0.03
Kanka,3,0.03
Adajan Gam,3,0.03
Athwa,3,0.03
City Light,3,0.03
Lanka,3,0.03
Britomart,3,0.03
Mt Eden,3,0.03
Wellington Central,3,0.03
"Bullring Shopping Centre, Southside",3,0.03
Spinningfields,3,0.03
CBD,3,0.03
Green Point,3,0.03
Parkhurst,3,0.03
Brooklyn,3,0.03
Waterkloof,3,0.03
Gazi Osman Pa��a,3,0.03
"SM by the Bay, Mall of Asia Complex, Pasay City",2,0.02
"SM Aura Premier, Bonifacio Global City, Taguig City",2,0.02
Leblon,2,0.02
Leme,2,0.02
"Bela Vista, Centro",2,0.02
Consola�_��o,2,0.02
Rep�_blica,2,0.02
Coralville,2,0.02
Ames,2,0.02
Clive,2,0.02
